PrefLabel,StopTerms.english,WhiteTerms.english
1-aminocyclopropane-1-carboxylic acid,,growth regulator;ethylene;ABA;growth regulators;C₂H₄;SA;IAA;plant growth;PGR;plant hormone;plant hormones;GA₃;PGRs
gibberellic acid,,PGRs;ABA;ACC;plant hormone;growth regulator;C₂H₄;PGR;IAA;plant growth;plant hormones;growth regulators;ethylene
salicylic acid,,PGRs;IAA;PGR;ABA;growth regulator;C₂H₄;plant hormone;plant hormones;ACC;GA₃;plant growth;growth regulators
atomic force microscopy,,TEM;SEM;TGA;EDS;EDX;UV-vis;FT-IR;EPR;TG;XRD;FTIR;XPS
jasmonic acid,,GA₃;plant hormones;ABA;ACC;growth regulators;IAA;plant hormone;PGRs;PGR;ethylene;plant growth;C₂H₄;growth regulator
ribosomal DNA,,cox1;tef1a;cox-1;actin;tef1;ITS1;ITS-2;tef1α;tef1-a;tef1-alpha;rpb1;ITS1-5.8S-ITS2;β-tub;β-tubulin;actin-2;beta-tubulin;actin2;ITS region;parsimony;tef1alpha;phylogenetic;ITS2;tef1-α;tub2;rpb2;internal transcribed spacer;beta-tub;ITS-1
stearic acid,stearic acid;stearic acids,acid;acids
myristic acid,myristic acid,acid;acids
dodecanoic acid,lauric acid;dodecanoic acid,acids;acid
linoleic acid,linoleic acid,acids;acid
vaccenic acid,,acids;acid
oleic acid,oleic acid;9-octadecenoic acid,acid;acids
linolenic acid,linolenic acid;eleostearic acid,acid;acids
palmitic acid,hexadecanoic acid;palmitic acid,acid;acids
germanium,,Si;Al;Sn
palladium,,Ag;Au;Pt
platinum,,Pd;Au;Ag
tellurium,,Se;S
ruthenium,,Au;Pt;Ag;Fe;Rh;Cu;Pd
rhodium,,Pt;Cu;Ag;Ru;Fe;Pd;Au
fuels (fire ecology),,wild fires;wildfires;wildfire;wild fire
nanogold,,Au;gold;@Au
nanosilver,,@Ag;Ag;silver
nucleic acid annealing,,polymerase;nucleic;nucleotide;PCR;sequencing;nucleotides;DNA;denaturation;primers
DNA barcoding,,DNA
floods,,cyclone;typhoons;cyclones;hurricanes;typhoon;storms;surge;hurricane;storm
dams (mothers),,sires;sire
thermogravimetry,,Fourier;X-ray;SEM;FT-IR;FTIR;TEM;NMR;UV-vis;XRD;XPS
kiwifruit,,fruit;peaches;fruits;peach;strawberries;apple;oranges;pineapples;apples;strawberry;pineapple
carbon monoxide,,NO₂;SO2;SO₂;SOx;CH ₄;CH₄;NOₓ;SO ₂;NO2;H₂;NOx;SOₓ;NO ₂;CH4;CO₂;CO ₂;NO ₓ;O₂;SO ₓ;poisoning;CO2
animal use alternatives,,renal;kidney;kidneys;ECVAM
animal use reduction,,ECVAM;renal;kidney;kidneys
artificial skin,,ECVAM;renal;kidney;kidneys
animal use replacement,,kidneys;ECVAM;renal;kidney
osmium,,Cu;Pt;Rh;Au;Fe;Pd;Ag
electron paramagnetic resonance spectroscopy,,UV-vis;TG;FT-IR;AFM;EDS;XPS;SEM;EDX;XRD;FTIR;TEM;TGA
cesium,,Rb;Li;Ba;Be;alkaline;Mg;Na;Sr
oral exposure,,Cd;pollutant;pathogens;pathogen;contaminant;contaminants;toxicology;pollution;Pb;pathology;toxic;toxicity;disease;heavy metals;heavy metal;pathogenic;lead;pollutants;cadmium
reflectance spectroscopy,,spectroscopy;spectra;spectroscopic;spectrometry
